experiment,person,person_b,config,enroll_count,probe_path,probe_index,probe_bucket,in_balanced,in_extended,ok,byte_errors,theta_requested,theta_observed,seed
vote_gain,Abdullah_Gul,,single,1,Abdullah_Gul/Abdullah_Gul_0006.jpg,0,first_probe,1,1,0,30,,,
vote_gain,Abdullah_Gul,,vote5,5,Abdullah_Gul/Abdullah_Gul_0006.jpg,0,first_probe,1,1,1,20,,,
vote_gain,Abdullah_Gul,,single,1,Abdullah_Gul/Abdullah_Gul_0007.jpg,1,additional_probe,0,1,1,28,,,
vote_gain,Abdullah_Gul,,vote5,5,Abdullah_Gul/Abdullah_Gul_0007.jpg,1,additional_probe,0,1,1,22,,,
vote_gain,Abdullah_Gul,,single,1,Abdullah_Gul/Abdullah_Gul_0008.jpg,2,additional_probe,0,1,0,31,,,
vote_gain,Abdullah_Gul,,vote5,5,Abdullah_Gul/Abdullah_Gul_0008.jpg,2,additional_probe,0,1,1,20,,,
vote_gain,Abdullah_Gul,,single,1,Abdullah_Gul/Abdullah_Gul_0009.jpg,3,additional_probe,0,1,0,30,,,
vote_gain,Abdullah_Gul,,vote5,5,Abdullah_Gul/Abdullah_Gul_0009.jpg,3,additional_probe,0,1,1,28,,,
vote_gain,Abdullah_Gul,,single,1,Abdullah_Gul/Abdullah_Gul_0010.jpg,4,additional_probe,0,1,0,30,,,
vote_gain,Abdullah_Gul,,vote5,5,Abdullah_Gul/Abdullah_Gul_0010.jpg,4,additional_probe,0,1,1,19,,,
vote_gain,Abdullah_Gul,,single,1,Abdullah_Gul/Abdullah_Gul_0011.jpg,5,additional_probe,0,1,0,31,,,
vote_gain,Abdullah_Gul,,vote5,5,Abdullah_Gul/Abdullah_Gul_0011.jpg,5,additional_probe,0,1,1,26,,,
vote_gain,Abdullah_Gul,,single,1,Abdullah_Gul/Abdullah_Gul_0012.jpg,6,additional_probe,0,1,0,29,,,
vote_gain,Abdullah_Gul,,vote5,5,Abdullah_Gul/Abdullah_Gul_0012.jpg,6,additional_probe,0,1,1,19,,,
vote_gain,Abdullah_Gul,,single,1,Abdullah_Gul/Abdullah_Gul_0013.jpg,7,additional_probe,0,1,0,30,,,
vote_gain,Abdullah_Gul,,vote5,5,Abdullah_Gul/Abdullah_Gul_0013.jpg,7,additional_probe,0,1,1,15,,,
vote_gain,Abdullah_Gul,,single,1,Abdullah_Gul/Abdullah_Gul_0014.jpg,8,additional_probe,0,1,0,30,,,
vote_gain,Abdullah_Gul,,vote5,5,Abdullah_Gul/Abdullah_Gul_0014.jpg,8,additional_probe,0,1,1,22,,,
